CorrVar1,CorrVar2,Value
hemoglobin,international_normalized_ratio_inr,0.01505
hematocrit,ph_arterial_blood_gas_analysis,0.01493
patient_addmited_to_intensive_care_unit_1_yes_0_no,urine_leukocytes,0.01492
magnesium,albumin,0.01486
monocytes,cto2_arterial_blood_gas_analysis,0.01456
potassium,po2_arterial_blood_gas_analysis,0.01440
aspartate_transaminase,cto2_arterial_blood_gas_analysis,0.01434
hb_saturation_venous_blood_gas_analysis,urine_density,0.01432
platelets,indirect_bilirubin,0.01413
proteina_c_reativa_mg_dl,hco3_arterial_blood_gas_analysis,0.01405
eosinophils,albumin,0.01403
total_co2_venous_blood_gas_analysis,urine_density,0.01381
total_co2_venous_blood_gas_analysis,urine_red_blood_cells,0.01378
hco3_venous_blood_gas_analysis,urine_red_blood_cells,0.01333
monocytes,arteiral_fio2,0.01330
monocytes,hco3_venous_blood_gas_analysis,0.01329
hco3_venous_blood_gas_analysis,urine_density,0.01329
eosinophils,potassium,0.01294
base_excess_venous_blood_gas_analysis,urine_leukocytes,0.01291
lymphocytes,arteiral_fio2,0.01258
po2_venous_blood_gas_analysis,albumin,0.01254
alkaline_phosphatase,lipase_dosage,0.01253
patient_addmited_to_regular_ward_1_yes_0_no,hco3_venous_blood_gas_analysis,0.01249
urine_ph,base_excess_arterial_blood_gas_analysis,0.01245
magnesium,po2_arterial_blood_gas_analysis,0.01240
hco3_venous_blood_gas_analysis,ph_arterial_blood_gas_analysis,0.01236
patient_addmited_to_regular_ward_1_yes_0_no,gamma_glutamyltransferase,0.01222
international_normalized_ratio_inr,pco2_arterial_blood_gas_analysis,0.01221
mean_corpuscular_hemoglobin_mch,metamyelocytes,0.01214
basophils,segmented,0.01206
ph_venous_blood_gas_analysis,urine_leukocytes,0.01205
neutrophils,total_co2_arterial_blood_gas_analysis,0.01200
patient_age_quantile,international_normalized_ratio_inr,0.01199
mean_corpuscular_volume_mcv,albumin,0.01184
patient_addmited_to_semi_intensive_unit_1_yes_0_no,creatinine,0.01182
eosinophils,urine_leukocytes,0.01180
potassium,cto2_arterial_blood_gas_analysis,0.01171
patient_addmited_to_regular_ward_1_yes_0_no,relationship_patient_normal,0.01170
total_co2_venous_blood_gas_analysis,pco2_arterial_blood_gas_analysis,0.01163
hco3_venous_blood_gas_analysis,pco2_arterial_blood_gas_analysis,0.01162
eosinophils,vitamin_b12,0.01159
mean_platelet_volume,mean_corpuscular_hemoglobin_concentration_mchc,0.01151
basophils,urine_leukocytes,0.01149
total_co2_venous_blood_gas_analysis,ph_arterial_blood_gas_analysis,0.01144
po2_venous_blood_gas_analysis,international_normalized_ratio_inr,0.01142
gamma_glutamyltransferase,ph_arterial_blood_gas_analysis,0.01142
alkaline_phosphatase,myelocytes,0.01141
lymphocytes,hco3_arterial_blood_gas_analysis,0.01133
international_normalized_ratio_inr,base_excess_arterial_blood_gas_analysis,0.01123
alanine_transaminase,urine_density,0.01122
gamma_glutamyltransferase,phosphor,0.01119
proteina_c_reativa_mg_dl,creatine_phosphokinase_cpk,0.01103
metamyelocytes,international_normalized_ratio_inr,0.01098
patient_addmited_to_regular_ward_1_yes_0_no,total_co2_venous_blood_gas_analysis,0.01080
alanine_transaminase,international_normalized_ratio_inr,0.01079
po2_venous_blood_gas_analysis,urine_density,0.01077
potassium,gamma_glutamyltransferase,0.01070
hematocrit,urine_leukocytes,0.01067
eosinophils,po2_venous_blood_gas_analysis,0.01067
alkaline_phosphatase,arteiral_fio2,0.01041
creatinine,lipase_dosage,0.01037
hemoglobin,pco2_venous_blood_gas_analysis,0.01024
monocytes,total_co2_venous_blood_gas_analysis,0.01013
creatinine,vitamin_b12,0.01007
total_co2_venous_blood_gas_analysis,myelocytes,0.01002
hco3_venous_blood_gas_analysis,urine_leukocytes,0.01001
patient_age_quantile,hco3_arterial_blood_gas_analysis,0.00998
mean_platelet_volume,base_excess_arterial_blood_gas_analysis,0.00987
basophils,total_bilirubin,0.00969
indirect_bilirubin,vitamin_b12,0.00960
total_co2_venous_blood_gas_analysis,urine_leukocytes,0.00954
serum_glucose,hb_saturation_arterial_blood_gases,0.00947
pco2_venous_blood_gas_analysis,segmented,0.00945
patient_addmited_to_semi_intensive_unit_1_yes_0_no,indirect_bilirubin,0.00939
direct_bilirubin,pco2_venous_blood_gas_analysis,0.00933
direct_bilirubin,albumin,0.00931
red_blood_cell_distribution_width_rdw,vitamin_b12,0.00926
aspartate_transaminase,magnesium,0.00926
mean_corpuscular_volume_mcv,hco3_arterial_blood_gas_analysis,0.00917
patient_age_quantile,alanine_transaminase,0.00911
hb_saturation_venous_blood_gas_analysis,international_normalized_ratio_inr,0.00909
basophils,indirect_bilirubin,0.00905
pco2_venous_blood_gas_analysis,pco2_arterial_blood_gas_analysis,0.00899
urine_red_blood_cells,arterial_lactic_acid,0.00894
metamyelocytes,urine_leukocytes,0.00891
indirect_bilirubin,phosphor,0.00886
metamyelocytes,ferritin,0.00883
mean_platelet_volume,hb_saturation_venous_blood_gas_analysis,0.00854
basophils,mean_corpuscular_volume_mcv,0.00851
gamma_glutamyltransferase,vitamin_b12,0.00840
potassium,urine_red_blood_cells,0.00833
urea,lactic_dehydrogenase,0.00827
promyelocytes,urine_density,0.00804
urine_density,creatine_phosphokinase_cpk,0.00793
direct_bilirubin,relationship_patient_normal,0.00789
basophils,direct_bilirubin,0.00785
urine_leukocytes,international_normalized_ratio_inr,0.00775
neutrophils,arterial_lactic_acid,0.00773
hco3_venous_blood_gas_analysis,metamyelocytes,0.00764
lymphocytes,arterial_lactic_acid,0.00756
hco3_venous_blood_gas_analysis,creatine_phosphokinase_cpk,0.00756
proteina_c_reativa_mg_dl,total_co2_arterial_blood_gas_analysis,0.00750
monocytes,indirect_bilirubin,0.00750
po2_venous_blood_gas_analysis,urine_ph,0.00749
urea,urine_density,0.00744
red_blood_cells,vitamin_b12,0.00719
hb_saturation_venous_blood_gas_analysis,albumin,0.00711
albumin,phosphor,0.00700
base_excess_venous_blood_gas_analysis,pco2_arterial_blood_gas_analysis,0.00698
creatine_phosphokinase_cpk,lipase_dosage,0.00685
patient_addmited_to_intensive_care_unit_1_yes_0_no,hco3_venous_blood_gas_analysis,0.00678
aspartate_transaminase,ph_arterial_blood_gas_analysis,0.00675
total_bilirubin,pco2_venous_blood_gas_analysis,0.00674
serum_glucose,ionized_calcium,0.00660
segmented,urine_density,0.00657
myelocytes,ferritin,0.00650
urine_density,albumin,0.00649
patient_age_quantile,vitamin_b12,0.00631
alanine_transaminase,total_co2_venous_blood_gas_analysis,0.00631
total_co2_venous_blood_gas_analysis,creatine_phosphokinase_cpk,0.00630
lactic_dehydrogenase,lipase_dosage,0.00624
hematocrit,arteiral_fio2,0.00620
total_co2_venous_blood_gas_analysis,arterial_lactic_acid,0.00619
hemoglobin,ph_arterial_blood_gas_analysis,0.00613
patient_addmited_to_regular_ward_1_yes_0_no,direct_bilirubin,0.00609
creatine_phosphokinase_cpk,phosphor,0.00604
total_bilirubin,vitamin_b12,0.00603
myelocytes,urine_leukocytes,0.00594
hemoglobin,lymphocytes,0.00590
lipase_dosage,albumin,0.00588
myelocytes,arterial_lactic_acid,0.00564
myelocytes,cto2_arterial_blood_gas_analysis,0.00563
aspartate_transaminase,arteiral_fio2,0.00562
proteina_c_reativa_mg_dl,hb_saturation_arterial_blood_gases,0.00557
hemoglobin,urine_leukocytes,0.00549
base_excess_venous_blood_gas_analysis,urine_density,0.00542
serum_glucose,promyelocytes,0.00524
rods,promyelocytes,0.00513
urine_leukocytes,hb_saturation_arterial_blood_gases,0.00510
metamyelocytes,lipase_dosage,0.00503
po2_venous_blood_gas_analysis,lipase_dosage,0.00498
mean_platelet_volume,eosinophils,0.00496
total_co2_venous_blood_gas_analysis,metamyelocytes,0.00492
platelets,serum_glucose,0.00487
eosinophils,relationship_patient_normal,0.00485
alanine_transaminase,hco3_venous_blood_gas_analysis,0.00473
neutrophils,direct_bilirubin,0.00472
lymphocytes,hb_saturation_arterial_blood_gases,0.00468
urine_red_blood_cells,relationship_patient_normal,0.00466
segmented,urine_leukocytes,0.00459
mean_corpuscular_hemoglobin_mch,arterial_lactic_acid,0.00443
alanine_transaminase,creatine_phosphokinase_cpk,0.00429
total_co2_venous_blood_gas_analysis,po2_arterial_blood_gas_analysis,0.00423
urine_red_blood_cells,pco2_arterial_blood_gas_analysis,0.00421
mean_corpuscular_hemoglobin_concentration_mchc,segmented,0.00417
leukocytes,sodium,0.00417
hco3_venous_blood_gas_analysis,arterial_lactic_acid,0.00412
metamyelocytes,urine_density,0.00396
alanine_transaminase,pco2_arterial_blood_gas_analysis,0.00391
urine_ph,phosphor,0.00389
serum_glucose,ferritin,0.00388
hb_saturation_venous_blood_gas_analysis,urine_leukocytes,0.00386
proteina_c_reativa_mg_dl,potassium,0.00382
urea,pco2_arterial_blood_gas_analysis,0.00373
myelocytes,lipase_dosage,0.00372
urine_leukocytes,relationship_patient_normal,0.00367
serum_glucose,lipase_dosage,0.00366
serum_glucose,pco2_arterial_blood_gas_analysis,0.00357
urine_red_blood_cells,creatine_phosphokinase_cpk,0.00356
hematocrit,hb_saturation_arterial_blood_gases,0.00352
ferritin,hb_saturation_arterial_blood_gases,0.00344
urine_leukocytes,cto2_arterial_blood_gas_analysis,0.00335
indirect_bilirubin,pco2_venous_blood_gas_analysis,0.00324
hematocrit,hb_saturation_venous_blood_gas_analysis,0.00323
platelets,urine_density,0.00296
rods,urine_leukocytes,0.00294
lymphocytes,total_co2_venous_blood_gas_analysis,0.00281
alanine_transaminase,arteiral_fio2,0.00280
eosinophils,arterial_lactic_acid,0.00274
rods,base_excess_arterial_blood_gas_analysis,0.00267
patient_age_quantile,eosinophils,0.00267
alanine_transaminase,magnesium,0.00267
urine_ph,relationship_patient_normal,0.00263
alanine_transaminase,urine_ph,0.00258
ferritin,hco3_arterial_blood_gas_analysis,0.00249
po2_venous_blood_gas_analysis,urine_leukocytes,0.00245
gamma_glutamyltransferase,arteiral_fio2,0.00232
segmented,promyelocytes,0.00228
patient_age_quantile,urine_ph,0.00226
base_excess_venous_blood_gas_analysis,albumin,0.00226
relationship_patient_normal,ph_arterial_blood_gas_analysis,0.00224
urine_red_blood_cells,total_co2_arterial_blood_gas_analysis,0.00223
patient_addmited_to_regular_ward_1_yes_0_no,po2_arterial_blood_gas_analysis,0.00220
red_blood_cell_distribution_width_rdw,lipase_dosage,0.00193
urine_density,international_normalized_ratio_inr,0.00192
urine_red_blood_cells,hco3_arterial_blood_gas_analysis,0.00185
patient_addmited_to_regular_ward_1_yes_0_no,potassium,0.00183
ph_venous_blood_gas_analysis,albumin,0.00179
neutrophils,urine_red_blood_cells,0.00172
hco3_venous_blood_gas_analysis,po2_arterial_blood_gas_analysis,0.00167
red_blood_cell_distribution_width_rdw,po2_arterial_blood_gas_analysis,0.00161
urine_leukocytes,ferritin,0.00156
gamma_glutamyltransferase,creatine_phosphokinase_cpk,0.00149
alkaline_phosphatase,ph_venous_blood_gas_analysis,0.00144
direct_bilirubin,pco2_arterial_blood_gas_analysis,0.00131
patient_age_quantile,total_co2_arterial_blood_gas_analysis,0.00129
urine_leukocytes,albumin,0.00120
ionized_calcium,creatine_phosphokinase_cpk,0.00116
urine_leukocytes,arterial_lactic_acid,0.00112
pco2_venous_blood_gas_analysis,albumin,0.00111
relationship_patient_normal,arteiral_fio2,0.00108
basophils,urine_ph,0.00108
urine_leukocytes,po2_arterial_blood_gas_analysis,0.00102
patient_addmited_to_intensive_care_unit_1_yes_0_no,creatine_phosphokinase_cpk,0.00096
hb_saturation_arterial_blood_gases,arteiral_fio2,0.00085
patient_addmited_to_semi_intensive_unit_1_yes_0_no,lipase_dosage,0.00079
patient_addmited_to_regular_ward_1_yes_0_no,rods,0.00073
creatine_phosphokinase_cpk,albumin,0.00072
mean_corpuscular_volume_mcv,total_bilirubin,0.00072
patient_addmited_to_intensive_care_unit_1_yes_0_no,lipase_dosage,0.00068
red_blood_cells,po2_venous_blood_gas_analysis,0.00068
aspartate_transaminase,lipase_dosage,0.00067
monocytes,creatine_phosphokinase_cpk,0.00061
patient_addmited_to_intensive_care_unit_1_yes_0_no,ferritin,0.00058
indirect_bilirubin,hb_saturation_arterial_blood_gases,0.00039
aspartate_transaminase,segmented,0.00036
urine_leukocytes,ph_arterial_blood_gas_analysis,0.00034
alkaline_phosphatase,urine_density,0.00024
ferritin,total_co2_arterial_blood_gas_analysis,0.00020
lipase_dosage,total_co2_arterial_blood_gas_analysis,0.00017
lipase_dosage,hco3_arterial_blood_gas_analysis,0.00016
lipase_dosage,arteiral_fio2,0.00012
patient_addmited_to_regular_ward_1_yes_0_no,albumin,0.00011
urine_leukocytes,phosphor,0.00011
ferritin,arteiral_fio2,0.00011
lipase_dosage,pco2_arterial_blood_gas_analysis,0.00010
patient_addmited_to_intensive_care_unit_1_yes_0_no,albumin,0.00007
lipase_dosage,base_excess_arterial_blood_gas_analysis,0.00006
lipase_dosage,phosphor,0.00006
neutrophils,vitamin_b12,0.00005
red_blood_cells,arterial_lactic_acid,0.00003
albumin,total_co2_arterial_blood_gas_analysis,0.00002
albumin,hco3_arterial_blood_gas_analysis,0.00002
albumin,arteiral_fio2,0.00001
albumin,pco2_arterial_blood_gas_analysis,0.00001
albumin,base_excess_arterial_blood_gas_analysis,0.00001
patient_addmited_to_regular_ward_1_yes_0_no,vitamin_b12,0.00000
urine_ph,vitamin_b12,0.00000
patient_addmited_to_intensive_care_unit_1_yes_0_no,vitamin_b12,0.00000
urine_leukocytes,vitamin_b12,0.00000
vitamin_b12,total_co2_arterial_blood_gas_analysis,0.00000
vitamin_b12,hco3_arterial_blood_gas_analysis,0.00000
vitamin_b12,arteiral_fio2,0.00000
vitamin_b12,pco2_arterial_blood_gas_analysis,0.00000
pco2_venous_blood_gas_analysis,vitamin_b12,0.00000
vitamin_b12,base_excess_arterial_blood_gas_analysis,0.00000
lactic_dehydrogenase,vitamin_b12,0.00000
relationship_patient_normal,vitamin_b12,0.00000
urine_density,vitamin_b12,0.00000
po2_venous_blood_gas_analysis,vitamin_b12,-0.00000
urine_red_blood_cells,vitamin_b12,-0.00000
vitamin_b12,creatine_phosphokinase_cpk,-0.00000
international_normalized_ratio_inr,vitamin_b12,-0.00000
total_co2_venous_blood_gas_analysis,vitamin_b12,-0.00000
hco3_venous_blood_gas_analysis,vitamin_b12,-0.00000
hb_saturation_venous_blood_gas_analysis,vitamin_b12,-0.00000
vitamin_b12,ph_arterial_blood_gas_analysis,-0.00000
vitamin_b12,lipase_dosage,-0.00000
vitamin_b12,hb_saturation_arterial_blood_gases,-0.00000
base_excess_venous_blood_gas_analysis,vitamin_b12,-0.00000
vitamin_b12,cto2_arterial_blood_gas_analysis,-0.00000
vitamin_b12,po2_arterial_blood_gas_analysis,-0.00000
vitamin_b12,arterial_lactic_acid,-0.00000
ph_venous_blood_gas_analysis,vitamin_b12,-0.00000
albumin,ph_arterial_blood_gas_analysis,-0.00001
albumin,hb_saturation_arterial_blood_gases,-0.00001
albumin,cto2_arterial_blood_gas_analysis,-0.00001
albumin,po2_arterial_blood_gas_analysis,-0.00001
arterial_lactic_acid,albumin,-0.00002
lactic_dehydrogenase,phosphor,-0.00004
lipase_dosage,ph_arterial_blood_gas_analysis,-0.00006
serum_glucose,gamma_glutamyltransferase,-0.00009
lipase_dosage,hb_saturation_arterial_blood_gases,-0.00011
lipase_dosage,cto2_arterial_blood_gas_analysis,-0.00012
lipase_dosage,po2_arterial_blood_gas_analysis,-0.00013
direct_bilirubin,vitamin_b12,-0.00015
arterial_lactic_acid,lipase_dosage,-0.00016
mean_platelet_volume,serum_glucose,-0.00020
basophils,urine_density,-0.00024
aspartate_transaminase,indirect_bilirubin,-0.00028
base_excess_venous_blood_gas_analysis,hb_saturation_arterial_blood_gases,-0.00033
sodium,arteiral_fio2,-0.00045
urine_leukocytes,base_excess_arterial_blood_gas_analysis,-0.00050
creatine_phosphokinase_cpk,arteiral_fio2,-0.00053
alkaline_phosphatase,urine_red_blood_cells,-0.00053
base_excess_venous_blood_gas_analysis,creatine_phosphokinase_cpk,-0.00056
urine_leukocytes,total_co2_arterial_blood_gas_analysis,-0.00058
urine_leukocytes,hco3_arterial_blood_gas_analysis,-0.00063
creatinine,hco3_arterial_blood_gas_analysis,-0.00065
sodium,urine_density,-0.00067
mean_corpuscular_hemoglobin_concentration_mchc,creatine_phosphokinase_cpk,-0.00070
mean_corpuscular_hemoglobin_concentration_mchc,gamma_glutamyltransferase,-0.00074
international_normalized_ratio_inr,albumin,-0.00077
urine_red_blood_cells,phosphor,-0.00081
hco3_venous_blood_gas_analysis,albumin,-0.00083
total_co2_venous_blood_gas_analysis,albumin,-0.00097
patient_addmited_to_regular_ward_1_yes_0_no,phosphor,-0.00098
mean_platelet_volume,total_bilirubin,-0.00106
mean_corpuscular_volume_mcv,urine_red_blood_cells,-0.00110
urine_leukocytes,pco2_arterial_blood_gas_analysis,-0.00115
patient_age_quantile,indirect_bilirubin,-0.00134
hemoglobin,arterial_lactic_acid,-0.00139
pco2_venous_blood_gas_analysis,ph_arterial_blood_gas_analysis,-0.00139
hb_saturation_venous_blood_gas_analysis,hb_saturation_arterial_blood_gases,-0.00141
segmented,hb_saturation_arterial_blood_gases,-0.00141
lymphocytes,po2_arterial_blood_gas_analysis,-0.00143
neutrophils,arteiral_fio2,-0.00151
eosinophils,monocytes,-0.00152
lactic_dehydrogenase,albumin,-0.00160
vitamin_b12,phosphor,-0.00164
lactic_dehydrogenase,arteiral_fio2,-0.00171
mean_corpuscular_hemoglobin_mch,indirect_bilirubin,-0.00172
alkaline_phosphatase,segmented,-0.00175
alanine_transaminase,urine_red_blood_cells,-0.00202
urine_red_blood_cells,base_excess_arterial_blood_gas_analysis,-0.00202
hematocrit,international_normalized_ratio_inr,-0.00211
red_blood_cells,segmented,-0.00218
urine_leukocytes,lactic_dehydrogenase,-0.00219
proteina_c_reativa_mg_dl,cto2_arterial_blood_gas_analysis,-0.00223
creatinine,total_co2_arterial_blood_gas_analysis,-0.00223
lymphocytes,hco3_venous_blood_gas_analysis,-0.00225
international_normalized_ratio_inr,po2_arterial_blood_gas_analysis,-0.00225
pco2_venous_blood_gas_analysis,urine_leukocytes,-0.00228
magnesium,urine_leukocytes,-0.00229
eosinophils,indirect_bilirubin,-0.00236
alanine_transaminase,base_excess_venous_blood_gas_analysis,-0.00242
eosinophils,alanine_transaminase,-0.00250
aspartate_transaminase,ionized_calcium,-0.00283
gamma_glutamyltransferase,urine_red_blood_cells,-0.00288
urine_red_blood_cells,arteiral_fio2,-0.00293
hco3_venous_blood_gas_analysis,urine_ph,-0.00298
mean_corpuscular_hemoglobin_concentration_mchc,pco2_arterial_blood_gas_analysis,-0.00301
creatine_phosphokinase_cpk,ferritin,-0.00301
urine_density,urine_red_blood_cells,-0.00328
basophils,aspartate_transaminase,-0.00331
international_normalized_ratio_inr,arterial_lactic_acid,-0.00336
lymphocytes,alanine_transaminase,-0.00338
lymphocytes,urine_ph,-0.00344
direct_bilirubin,rods,-0.00360
patient_age_quantile,promyelocytes,-0.00362
red_blood_cells,alkaline_phosphatase,-0.00368
lactic_dehydrogenase,base_excess_arterial_blood_gas_analysis,-0.00378
urine_leukocytes,lipase_dosage,-0.00381
serum_glucose,metamyelocytes,-0.00387
platelets,proteina_c_reativa_mg_dl,-0.00402
urine_red_blood_cells,ph_arterial_blood_gas_analysis,-0.00402
red_blood_cells,neutrophils,-0.00407
mean_platelet_volume,po2_venous_blood_gas_analysis,-0.00412
patient_age_quantile,red_blood_cells,-0.00413
red_blood_cells,potassium,-0.00416
serum_glucose,rods,-0.00419
hematocrit,lymphocytes,-0.00435
myelocytes,urine_density,-0.00437
myelocytes,international_normalized_ratio_inr,-0.00441
po2_venous_blood_gas_analysis,lactic_dehydrogenase,-0.00444
platelets,mean_corpuscular_volume_mcv,-0.00451
platelets,segmented,-0.00452
urine_leukocytes,creatine_phosphokinase_cpk,-0.00455
serum_glucose,myelocytes,-0.00455
indirect_bilirubin,po2_arterial_blood_gas_analysis,-0.00467
urine_red_blood_cells,cto2_arterial_blood_gas_analysis,-0.00472
mean_corpuscular_volume_mcv,relationship_patient_normal,-0.00480
patient_age_quantile,potassium,-0.00489
urea,po2_arterial_blood_gas_analysis,-0.00503
direct_bilirubin,po2_arterial_blood_gas_analysis,-0.00517
total_co2_venous_blood_gas_analysis,urine_ph,-0.00518
neutrophils,alkaline_phosphatase,-0.00541
basophils,urea,-0.00547
hematocrit,ionized_calcium,-0.00550
urine_red_blood_cells,po2_arterial_blood_gas_analysis,-0.00552
rods,lipase_dosage,-0.00554
ph_venous_blood_gas_analysis,pco2_arterial_blood_gas_analysis,-0.00555
total_bilirubin,po2_arterial_blood_gas_analysis,-0.00556
patient_addmited_to_regular_ward_1_yes_0_no,aspartate_transaminase,-0.00580
aspartate_transaminase,urine_red_blood_cells,-0.00586
lymphocytes,urine_red_blood_cells,-0.00596
promyelocytes,metamyelocytes,-0.00603
neutrophils,myelocytes,-0.00607
magnesium,urine_red_blood_cells,-0.00607
total_bilirubin,hb_saturation_arterial_blood_gases,-0.00622
monocytes,phosphor,-0.00624
urine_red_blood_cells,albumin,-0.00631
myelocytes,creatine_phosphokinase_cpk,-0.00642
aspartate_transaminase,arterial_lactic_acid,-0.00655
patient_addmited_to_semi_intensive_unit_1_yes_0_no,mean_platelet_volume,-0.00668
potassium,sodium,-0.00687
hematocrit,vitamin_b12,-0.00708
lymphocytes,cto2_arterial_blood_gas_analysis,-0.00712
base_excess_venous_blood_gas_analysis,lipase_dosage,-0.00731
urine_red_blood_cells,hb_saturation_arterial_blood_gases,-0.00746
aspartate_transaminase,myelocytes,-0.00748
red_blood_cells,base_excess_arterial_blood_gas_analysis,-0.00752
hb_saturation_venous_blood_gas_analysis,urine_ph,-0.00763
neutrophils,alanine_transaminase,-0.00818
urine_density,base_excess_arterial_blood_gas_analysis,-0.00827
eosinophils,myelocytes,-0.00829
patient_addmited_to_semi_intensive_unit_1_yes_0_no,patient_addmited_to_intensive_care_unit_1_yes_0_no,-0.00829
neutrophils,metamyelocytes,-0.00830
ionized_calcium,urine_leukocytes,-0.00836
urine_ph,international_normalized_ratio_inr,-0.00840
gamma_glutamyltransferase,international_normalized_ratio_inr,-0.00842
potassium,pco2_arterial_blood_gas_analysis,-0.00851
patient_age_quantile,arteiral_fio2,-0.00867
metamyelocytes,creatine_phosphokinase_cpk,-0.00875
alkaline_phosphatase,ferritin,-0.00875
serum_glucose,urine_red_blood_cells,-0.00884
mean_corpuscular_hemoglobin_mch,sodium,-0.00899
gamma_glutamyltransferase,base_excess_arterial_blood_gas_analysis,-0.00911
basophils,cto2_arterial_blood_gas_analysis,-0.00919
neutrophils,ferritin,-0.00939
gamma_glutamyltransferase,urine_ph,-0.00941
potassium,total_bilirubin,-0.00941
platelets,arterial_lactic_acid,-0.00952
total_co2_venous_blood_gas_analysis,arteiral_fio2,-0.00970
red_blood_cell_distribution_width_rdw,po2_venous_blood_gas_analysis,-0.00971
alanine_transaminase,lipase_dosage,-0.00975
patient_age_quantile,rods,-0.00983
magnesium,urine_density,-0.00983
creatinine,urine_density,-0.00984
red_blood_cells,magnesium,-0.00988
hb_saturation_arterial_blood_gases,base_excess_arterial_blood_gas_analysis,-0.01000
mean_platelet_volume,cto2_arterial_blood_gas_analysis,-0.01004
patient_age_quantile,po2_arterial_blood_gas_analysis,-0.01016
promyelocytes,urine_leukocytes,-0.01020
patient_age_quantile,urine_density,-0.01025
international_normalized_ratio_inr,ph_arterial_blood_gas_analysis,-0.01030
hemoglobin,arteiral_fio2,-0.01037
basophils,arterial_lactic_acid,-0.01044
urine_ph,urine_red_blood_cells,-0.01072
monocytes,alanine_transaminase,-0.01073
monocytes,albumin,-0.01089
urine_ph,hco3_arterial_blood_gas_analysis,-0.01092
gamma_glutamyltransferase,hb_saturation_arterial_blood_gases,-0.01094
international_normalized_ratio_inr,phosphor,-0.01097
patient_age_quantile,albumin,-0.01102
patient_addmited_to_regular_ward_1_yes_0_no,patient_addmited_to_intensive_care_unit_1_yes_0_no,-0.01111
patient_age_quantile,ionized_calcium,-0.01114
neutrophils,total_bilirubin,-0.01116
ph_venous_blood_gas_analysis,urine_density,-0.01132
mean_corpuscular_hemoglobin_mch,myelocytes,-0.01134
potassium,ph_arterial_blood_gas_analysis,-0.01135
alanine_transaminase,ionized_calcium,-0.01178
serum_glucose,pco2_venous_blood_gas_analysis,-0.01199
hematocrit,lipase_dosage,-0.01200
urine_red_blood_cells,ferritin,-0.01211
eosinophils,gamma_glutamyltransferase,-0.01211
patient_addmited_to_regular_ward_1_yes_0_no,total_bilirubin,-0.01228
red_blood_cells,alanine_transaminase,-0.01229
hemoglobin,hb_saturation_venous_blood_gas_analysis,-0.01231
direct_bilirubin,ionized_calcium,-0.01239
monocytes,sodium,-0.01243
hb_saturation_venous_blood_gas_analysis,ph_arterial_blood_gas_analysis,-0.01267
hco3_venous_blood_gas_analysis,arteiral_fio2,-0.01271
po2_venous_blood_gas_analysis,hb_saturation_arterial_blood_gases,-0.01278
gamma_glutamyltransferase,pco2_arterial_blood_gas_analysis,-0.01283
patient_addmited_to_regular_ward_1_yes_0_no,patient_addmited_to_semi_intensive_unit_1_yes_0_no,-0.01284
direct_bilirubin,hb_saturation_arterial_blood_gases,-0.01293
mean_corpuscular_hemoglobin_concentration_mchc,base_excess_venous_blood_gas_analysis,-0.01295
hemoglobin,vitamin_b12,-0.01295
red_blood_cells,lactic_dehydrogenase,-0.01307
patient_addmited_to_regular_ward_1_yes_0_no,alanine_transaminase,-0.01314
urine_ph,total_co2_arterial_blood_gas_analysis,-0.01317
patient_addmited_to_intensive_care_unit_1_yes_0_no,myelocytes,-0.01321
urine_red_blood_cells,lactic_dehydrogenase,-0.01339
urine_density,relationship_patient_normal,-0.01344
red_blood_cells,pco2_venous_blood_gas_analysis,-0.01363
po2_venous_blood_gas_analysis,cto2_arterial_blood_gas_analysis,-0.01367
patient_addmited_to_intensive_care_unit_1_yes_0_no,relationship_patient_normal,-0.01370
patient_age_quantile,po2_venous_blood_gas_analysis,-0.01371
myelocytes,vitamin_b12,-0.01374
sodium,promyelocytes,-0.01404
proteina_c_reativa_mg_dl,magnesium,-0.01406
alanine_transaminase,ph_arterial_blood_gas_analysis,-0.01407
alkaline_phosphatase,metamyelocytes,-0.01422
magnesium,metamyelocytes,-0.01440
alkaline_phosphatase,po2_arterial_blood_gas_analysis,-0.01459
red_blood_cells,lymphocytes,-0.01467
ph_venous_blood_gas_analysis,creatine_phosphokinase_cpk,-0.01470
pco2_venous_blood_gas_analysis,phosphor,-0.01477
ionized_calcium,hb_saturation_venous_blood_gas_analysis,-0.01506
patient_addmited_to_regular_ward_1_yes_0_no,myelocytes,-0.01511
leukocytes,ionized_calcium,-0.01516
patient_addmited_to_intensive_care_unit_1_yes_0_no,mean_corpuscular_volume_mcv,-0.01537
patient_age_quantile,arterial_lactic_acid,-0.01544
patient_addmited_to_regular_ward_1_yes_0_no,mean_corpuscular_hemoglobin_concentration_mchc,-0.01561
eosinophils,total_bilirubin,-0.01563
mean_corpuscular_hemoglobin_concentration_mchc,urine_density,-0.01571
ionized_calcium,international_normalized_ratio_inr,-0.01583
platelets,total_bilirubin,-0.01590
mean_corpuscular_hemoglobin_mch,total_co2_arterial_blood_gas_analysis,-0.01595
total_co2_venous_blood_gas_analysis,rods,-0.01599
urine_density,phosphor,-0.01606
patient_age_quantile,lipase_dosage,-0.01620
patient_age_quantile,hb_saturation_arterial_blood_gases,-0.01620
patient_addmited_to_regular_ward_1_yes_0_no,monocytes,-0.01621
patient_age_quantile,creatine_phosphokinase_cpk,-0.01621
patient_age_quantile,magnesium,-0.01634
